order_id,sku,asin,fnsku,title,is_video_game,system,classification_source,original_condition,current_sku_condition,sale_date,return_date,quantity,sold_line_quantity,lpn,fulfillment_center,raw_disposition,raw_reason,raw_status,economic_outcome,case_id,unit_cost,cost_source,sale_price_per_unit,original_revenue_line,customer_refund_line,gross_fees_per_returned_unit,fee_credits_per_returned_unit,original_fba_fee_per_returned_unit,original_referral_fee_per_returned_unit,fba_fee_credit_per_returned_unit,referral_fee_credit_per_returned_unit,refund_admin_fee_per_returned_unit,return_processing_fee_per_returned_unit,removal_fee_per_returned_unit,net_transaction_cost,reimbursement,reimbursement_ids,reimbursement_inventory_units,known_recovery_value,known_impairment,known_loss_excluding_unknown_impairment,zero_recovery_loss_known_basis,reconciliation_status,cohort_in_period,return_in_period,bucket,currently_sellable_evidence,currently_unsellable_evidence,downstream_state,candidate_removal_ids_not_unit_links,candidate_removal_rows,downstream_case_state,downstream_case_decision
112-1981942-0638611,1045509207,B0042GW7CC,X0032QX741,Namco Museum Megamix [Nintendo Wii],True,Nintendo Wii,Title/platform heuristic,,11,2026-04-04,2026-04-20,1,1,,VGT1,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,sellable,,11.12,mbop_fifo,31.46,31.46,31.46,20.97,16.61,3.42,4.72,0,4.72,0.94,0,0,4.36,0,,0,,0,4.36,4.36,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
111-3787566-9617028,1028908801,B00KWFCV32,X002B4ZPAJ,Splatoon [Nintendo Wii U],True,Nintendo Wii U,Title/platform heuristic,,11,2026-03-21,2026-04-14,1,1,,TUS2,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,sellable,,27.94,inventorylab_legacy,39.98,39.98,39.98,12.42,7.8,3.42,6.0,0,6.0,1.2,0,0,4.62,0,,0,,0,4.62,4.62,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,7tZyRw24OP,1,,
113-7664742-7108227,1069286305,B0CTKX44NG,X004OHC455,MLB The Show 24 - Nintendo Switch [Nintendo Switch],True,Nintendo Switch,Title/platform heuristic,,11,2026-03-25,2026-04-13,1,1,LPNRRJI3589798,EWR7,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,sellable,,39.00,mbop_fifo,88.16,88.16,88.16,21.24,15.02,3.58,13.22,0,13.22,2.64,0,0,6.22,0,,0,,0,6.22,6.22,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
113-4707224-5109032,1070891178,B004FUI84G,X004YOIZKL,Prototype 2 PS3 - PlayStation 3 [PlayStation 3],True,PlayStation 3,Title/platform heuristic,,11,2026-03-24,2026-04-08,1,1,LPNRRJE1827050,EWR7,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,sellable,,19.16,mbop_fifo,40.77,40.77,40.77,12.56,7.92,3.42,6.12,0,6.12,1.22,0,0,4.64,0,,0,,0,4.64,4.64,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
111-5434538-2816217,1041419281,B07DQ43VFQ,X002WHUA6T,NBA 2K19 - Nintendo Switch [Nintendo Switch],True,Nintendo Switch,Title/platform heuristic,,11,2026-03-06,2026-04-06,1,1,LPNO540774729,IND8,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,sellable,,18.33,mbop_fifo,38.99,38.99,38.99,12.24,7.65,3.42,5.85,0,5.85,1.17,0,0,4.59,0,,0,,0,4.59,4.59,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
111-1090107-9016235,1028908801,B00KWFCV32,X002B4ZPAJ,Splatoon [Nintendo Wii U],True,Nintendo Wii U,Title/platform heuristic,,11,2026-03-16,2026-04-03,1,1,LPNAC991895658,PGA1,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,sellable,,27.94,inventorylab_legacy,39.99,39.99,39.99,12.42,7.8,3.42,6.0,0,6.0,1.2,0,0,4.62,0,,0,,0,4.62,4.62,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,7tZyRw24OP,1,,
112-6344274-1402669,1045692341,B014N4RTS4,X0032ZVHWV,YO-KAI WATCH - 3DS [Nintendo 3DS],True,Nintendo 3DS,Title/platform heuristic,,11,2026-03-22,2026-04-02,1,1,LPNO538834617,IND8,SELLABLE,NOT_AS_DESCRIBED,Unit returned to inventory,sellable,,25.00,mbop_fifo,60.46,60.46,60.46,16.36,10.87,3.68,9.07,0,9.07,1.81,0,0,5.49,0,,0,,0,5.49,5.49,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
112-2936515-0203457,1070474320,B0BBXD3P63,X004W2NSJN,God of Rock (PS5) [PlayStation 5],True,PlayStation 5,Title/platform heuristic,,11,2026-02-19,2026-03-19,1,1,LPNPMGY3448366,LAS2,SELLABLE,MISSED_ESTIMATED_DELIVERY,Unit returned to inventory,sellable,,23.99,mbop_fifo,52.64,52.64,52.64,14.96,9.7,3.68,7.9,0,7.9,1.58,0,0,5.26,0,,0,,0,5.26,5.26,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
112-6031769-0429014,1069890477,B0CFTFG12B,X004SC7DL1,Call of Duty Modern Warfare III - Xbox [Xbox Series X],True,Xbox,Title/platform heuristic,,11,2025-11-17,2026-02-18,1,1,LPNAC790460428,FAR1,CUSTOMER_DAMAGED,NOT_AS_DESCRIBED,Unit returned to inventory,unsellable_recovery_unknown,,,missing,48.20,48.2,48.2,13.82,9.03,3.34,7.23,0,7.23,1.45,0,0,4.79,0,,0,,,4.79,,posted_fees_reconciled,True,True,B. Unsellable / unfulfillable,False,True,No linked downstream evidence,3uOwQOf5LW,1,,
114-1908669-9576252,1063375936,B07XGW61PX,X00452YNSF,Plants Vs. Zombies: Battle for Neighborville - Xbox One [Xbox One],True,Xbox One,Title/platform heuristic,,11,2025-12-11,2026-02-18,1,1,LPNNA6TWDRGYB,CHA1,SELLABLE,NOT_COMPATIBLE,Unit returned to inventory,sellable,,13.87,inventorylab_legacy,31.09,31.09,31.09,10.73,6.46,3.34,4.66,0,4.66,0.93,0,0,4.27,0,,0,,0,4.27,4.27,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
111-6338490-7632263,1048220574,B00KLMOY4K,X0036RZFQJ,Plants vs Zombies Garden Warfare(Online Play Required) - PlayStation 4 [PlayStation 4],True,PlayStation 4,Title/platform heuristic,,11,2026-01-22,2026-02-10,1,1,LPNNA684FXP4F,LEX1,CUSTOMER_DAMAGED,NOT_AS_DESCRIBED,Unit returned to inventory,unsellable_recovery_unknown,,12.50,inventorylab_legacy,29.78,29.78,29.78,10.58,6.27,3.42,4.47,0,4.47,0.89,0,0,4.31,0,,0,,,4.31,16.81,posted_fees_reconciled,True,True,B. Unsellable / unfulfillable,False,True,No linked downstream evidence,GPBiI+SVBV;fj2ICmWxaW,3,,
112-7222588-5965843,1070280031,B0B57TXPTH,X004UTCZGZ,PAC-MAN World Re-PAC - PlayStation 4 [PlayStation 4],True,PlayStation 4,Title/platform heuristic,,11,2025-11-28,2026-02-03,1,1,LPNO496450793,IND8,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,sellable,,14.92,inventorylab_legacy,34.97,34.97,34.67,,,,,,,,,,,0,,0,,0,,,principal_difference_review,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
