dimension,value,title,units_sold,returned_units_observed,return_rate,fee_reconciled_units,basis_known_units,gross_fees_reconciled,fee_credits_reconciled,net_transaction_cost_reconciled,reimbursements_linked,known_impairment,known_economic_components_partial_coverage,known_loss_fee_reconciled_subset,zero_recovery_known_components_plus_known_basis,unknown_impairment_known_basis,unknown_impairment_missing_basis_units,mean_transaction_cost_reconciled,median_transaction_cost_reconciled,mean_known_loss_fee_reconciled,known_cost_per_unit_sold_partial_coverage,zero_recovery_cost_per_unit_sold_partial_coverage,full_maximum_loss,original_fba_fees,original_referral_fees,referral_credits,fba_credits,refund_admin_fees,return_processing_fees,removal_fees
asin,B00386VMZA,Tiger Woods PGA Tour 11 - Nintendo Wii,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B0038TT8QM,Sid Meier's Civilization V - PC,6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B0039XZGXG,WipeOut: The Game,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B003AMOK9M,The Sims 3: Ambitions,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B003C1I06U,Batman: Arkham Asylum (Game of the Year Edition) - Playstation 3,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B003DNH95K,Lord of the Rings: War in the North - Xbox 360,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B003HO0RPE,Deal or No Deal Special Edition - Nintendo Wii,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B003IE9V28,Marvel vs. Capcom 3: Fate of Two Worlds - Xbox 360,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B003KMJ90C,Monopoly Streets - Playstation 3,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B003KMJ9FC,Monopoly Streets - Nintendo Wii [Nintendo Wii],1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B003LDKIUA,Pac-Man Party - Nintendo Wii,7,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B003M986Z2,Hasbro Family Game Night 3 - Nintendo Wii,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B003N5XSRG,Guitar Hero: Warriors of Rock Stand-Alone Software - Nintendo Wii,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B003O6E3C8,Portal 2 - Playstation 3,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B003O6E6CA,Tiger Woods PGA TOUR 12: The Masters - Nintendo Wii,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B003O6E986,Forza Motorsport 4 - Xbox 360,10,1,0.1,1,1,14.78,9.44,5.34,0,0,5.34,5.34,5.34,0,0,5.34,5.34,5.34,0.534,0.534,,3.81,7.64,7.64,0,1.53,0,0
asin,B003OZZJGS,Gold's Gym Dance Workout - Nintendo Wii [Nintendo Wii],5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B003QWI21S,New Carnival Games - Nintendo Wii,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B003R7H5TC,Need for Speed Hot Pursuit - Playstation 3,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
asin,B003RS8I92,Rock Band 3 - Playstation 3 (Game),1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0
