order_id,sku,asin,fnsku,title,is_video_game,system,classification_source,original_condition,current_sku_condition,sale_date,return_date,quantity,sold_line_quantity,lpn,fulfillment_center,raw_disposition,raw_reason,raw_status,economic_outcome,case_id,unit_cost,cost_source,sale_price_per_unit,original_revenue_line,customer_refund_line,gross_fees_per_returned_unit,fee_credits_per_returned_unit,original_fba_fee_per_returned_unit,original_referral_fee_per_returned_unit,fba_fee_credit_per_returned_unit,referral_fee_credit_per_returned_unit,refund_admin_fee_per_returned_unit,return_processing_fee_per_returned_unit,removal_fee_per_returned_unit,net_transaction_cost,reimbursement,reimbursement_ids,reimbursement_inventory_units,known_recovery_value,known_impairment,known_loss_excluding_unknown_impairment,zero_recovery_loss_known_basis,reconciliation_status,cohort_in_period,return_in_period
112-0746183-7085059,1063376019,B00503E9UO,X00452YYBL,Call of Duty: Modern Warfare 3 - Nintendo Wii [Nintendo Wii],True,Nintendo Wii,Title/platform heuristic,,11,2025-09-18,2025-09-29,1,1,LPNAC006182404,LEX2,CUSTOMER_DAMAGED,DEFECTIVE,Unit returned to inventory,unsellable_recovery_unknown,,13.73,inventorylab_legacy,28.63,28.63,28.63,10.10,6.09,3.15,4.29,0,4.29,0.86,0,0,4.01,0,,0,,,4.01,17.74,posted_fees_reconciled,True,True
112-9172949-2457810,1061145216,B07YFF2KWG,X00400MY3D,The Sims 4 Plus Island Living Bundle - PlayStation 4 [PlayStation 4],True,PlayStation 4,Title/platform heuristic,,11,2025-08-27,2025-09-23,1,1,LPNAC986829209,EWR9,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,sellable,,,missing,49.11,49.11,49.11,13.79,9.17,3.15,7.37,0,7.37,1.47,0,0,4.62,0,,0,,0,4.62,4.62,posted_fees_reconciled,False,True
111-4013882-7942665,1068329410,B07HFMJ4R5,X004JJ78EP,Minecraft: Starter Collection - Xbox One [Xbox One],True,Xbox One,Title/platform heuristic,,11,2025-08-24,2025-09-19,1,1,LPNAC628123134,IAH1,CUSTOMER_DAMAGED,DEFECTIVE,Unit returned to inventory,unsellable_recovery_unknown,,23.49,inventorylab_legacy,37.67,37.67,37.67,11.73,7.45,3.15,5.65,0,5.65,1.13,0,0,4.28,0,,0,,,4.28,27.77,posted_fees_reconciled,False,True
114-0447408-6785807,1052907525,B01N54QSH6,X003EPODEN,"Harmony Good Dog Ceramic Dog Bowl, 3 Cups",False,Unclassified,No reliable game match,,11,2025-08-29,2025-09-19,1,1,LPNNG584KFTWY,LEX1,SELLABLE,NOT_AS_DESCRIBED,Unit returned to inventory,sellable,,,missing,37.93,37.93,37.93,12.60,5.69,5.77,5.69,0,5.69,1.14,0,0,6.91,0,,0,,0,6.91,6.91,posted_fees_reconciled,False,True
114-2383470-3392237,1069890500,B09ZZ9L123,X004SCH1A9,Gotham Knights Deluxe Edition - PlayStation 5 [PlayStation 5],True,PlayStation 5,Title/platform heuristic,,11,2025-08-20,2025-09-19,1,1,LPNAC206661326,IAH1,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,sellable,,24.99,mbop_fifo,49.99,49.99,49.99,15.25,7.5,3.15,7.5,0,7.5,1.5,0,0,7.75,0,,0,,0,7.75,7.75,posted_fees_reconciled,False,True
114-6640619-1201846,1052907525,B01N54QSH6,X003EPODEN,"Harmony Good Dog Ceramic Dog Bowl, 3 Cups",False,Unclassified,No reliable game match,,11,2025-08-21,2025-09-19,1,1,LPNAC897375986,PGA1,CUSTOMER_DAMAGED,UNWANTED_ITEM,Unit returned to inventory,unsellable_recovery_unknown,,,missing,37.93,37.93,37.93,12.60,5.69,5.77,5.69,0,5.69,1.14,0,0,6.91,0,,0,,,6.91,,posted_fees_reconciled,False,True
114-8010846-9860240,1066393107,B08X2FS1TV,X004DJJYA7,"Magicsuit Women's Peace Out Aubrey High Neck Soft Cup One Piece Swimsuit, Black/Multi, 10",False,Unclassified,No reliable game match,,11,2025-08-27,2025-09-18,1,1,LPNRRJA2929735,BDU2,CUSTOMER_DAMAGED,APPAREL_STYLE,Unit returned to inventory,unsellable_recovery_unknown,,,missing,47.36,47.36,47.36,16.47,8.05,6.81,8.05,0,8.05,1.61,0,0,8.42,0,,0,,,8.42,,posted_fees_reconciled,False,True
113-5786079-5950647,1063162578,B0B6SMNLQ8,X0044NDDDV,Taos Footwear Women's Starline Blue Sneaker 8 W,False,Unclassified,No reliable game match,,NewItem,2025-07-26,2025-09-09,1,1,LPNO408913381,PHX6,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,sellable,,,missing,39.99,39.99,39.99,14.2,6,7,6,0,6,1.2,0,0,8.2,0,,0,,0,8.2,8.2,posted_fees_reconciled,False,True
112-9740624-6405817,1069261942,B0CHN2DVSX,X004OAYD5B,Hobby Lobby Fudge Brownie Candle Tin,False,Unclassified,No reliable game match,,11,2025-08-24,2025-09-04,1,1,LPNPMCZ4125200,DTW1,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,sellable,,8.99,inventorylab_legacy,21.18,21.18,21.18,8.37,3.18,4.55,3.18,0,3.18,0.64,0,0,5.19,0,,0,,0,5.19,5.19,posted_fees_reconciled,False,True
111-5315317-5904218,1068811450,B000L422L0,X004LNE55J,Brooktown High: Senior Year - Sony PSP [Sony PSP],True,PSP,Title/platform heuristic,,11,2025-08-06,2025-09-04,1,1,LPNO401573153,PHX6,SELLABLE,FOUND_BETTER_PRICE,Unit returned to inventory,sellable,,5.10,inventorylab_legacy,19.99,19.99,19.99,8.55,4.8,3.15,3,0,3,0.6,0,0,3.75,0,,0,,0,3.75,3.75,posted_fees_reconciled,False,True
