asin,age_tier,cost,unit_assessments,months
B00XUZBCEK,181-210,0.01,1,1
B006D3JT1E,181-210,0.01,1,1
B00DHF39KS,181-210,0.01,1,1
B00ECL590O,181-210,0.01,2,2
B0B57TXPTH,211-240,0.01,1,1
B00ECL590O,211-240,0.01,1,1
B003VJJRK6,181-210,0.01,1,1
B0CBCN5CRM,181-210,0.01,1,1
B09RSG6JBK,181-210,0.01,1,1
B0009350BC,181-210,0.01,1,1
B002I0IHIM,181-210,0.01,1,1
B0BT49JLWM,181-210,0.01,1,1
B0050SYW1U,181-210,0.01,1,1
B07NBDYK99,181-210,0.01,2,1
B01GU2V4HO,211-240,0.01,1,1
B00FNNQREC,211-240,0.01,1,1
B01M2DAESC,211-240,0.01,1,1
B00ECL58XM,211-240,0.01,1,1
B01GU2V4II,211-240,0.01,1,1
B08F5VZ32L,211-240,0.01,1,1
B0D18WVLL1,211-240,0.01,1,1
B072Q6X3WW,211-240,0.01,1,1
B0BZS6N2GV,211-240,0.01,1,1
B002ARW2CA,211-240,0.01,1,1
B0155VB30Y,211-240,0.01,1,1
B07MTZN8P3,181-210,0.01,1,1
B00KAEION6,211-240,0.01,1,1
B07XKBZ7F7,181-210,0.00,1,1
B08HQ4XV5G,181-210,0.00,1,1
B07B9XCN31,181-210,0.00,1,1
B09D2J1Y9G,181-210,0.00,1,1
B08L91Z6VK,181-210,0.00,2,1
B008J16AG0,181-210,0.00,1,1
B01GW8Y17G,181-210,0.00,1,1
B06ZY2129H,181-210,0.00,1,1
B08F5VZ32L,181-210,0.00,1,1
B0155VB30Y,181-210,0.00,1,1
B07Q219M5D,181-210,0.00,1,1
B00KAEION6,181-210,0.00,1,1
B002SRP9VI,181-210,0.00,1,1
B07B9QZYMZ,181-210,0.00,2,1
B0B8JH4CTN,181-210,0.00,1,1
B07DDD9CPN,241-270,0.00,1,1
B07Q219M5D,211-240,0.00,1,1
