Title,MSKU,Fulfillment,Inbound Qty,On Hand,Unlisted Qty,Cost/Unit,Total Value
Need for Speed Payback - XBOX One,1068329376,FBA,0,1,0,12.77,12.77
WWE 2K20 - PlayStation 4,1033469061,FBA,0,1,0,16.19,16.19
Beyond A Steel Sky: Utopia Edition Nintendo Switch,1071283726,FBA,0,1,0,49.90,49.90
Rock Band: Country Track Pack - Xbox 360,1071517328,FBA,0,1,0,30.92,30.92
Kung Fu Panda - Playstation 3,1071283714,FBA,0,1,0,21.77,21.77
Tony Hawk Pro Skater 1+2 - Xbox Series X Standard Edition,1064185632,FBA,0,1,0,16.44,16.44
Prey - PlayStation 4,1071047194,FBA,0,1,0,25.00,25.00
Fire Emblem Warriors: Three Hopes - Switch,1071517347,FBA,0,1,0,24.99,24.99
Call of Duty: Modern Warfare 3 - Nintendo Wii,1063376019,FBA,0,1,0,13.73,13.73
Major League Baseball 2K9 - Nintendo Wii,1071453890,FBA,0,1,0,10.00,10.00
Way of the Hunter - PlayStation 5,1071283723,FBA,0,1,0,15.30,15.30
Chivalry 2 - PlayStation 4,1071379577,FBA,0,1,0,8.10,8.10
Call of Duty: Advanced Warfare - PlayStation 4,1037517086,FBA,0,1,0,17.15,17.15
Need for Speed Payback Deluxe Edition - PlayStation 4,1070891221,FBA,0,1,0,42.37,42.37
Utawarerumono: Mask of Truth - PlayStation Vita,1071517339,FBA,0,1,0,23.49,23.49
Destiny: The Taken King - Legendary Edition - Xbox One,1071517336,FBA,0,1,0,12.51,12.51
Bubble Bobble 4 Friends - The Baron Is Back! - Nintendo Switch Edition,1071379591,FBA,0,1,0,35.77,35.77
Wolfenstein: The Two-Pack - PlayStation 4,1071047170,FBA,0,1,0,49.90,49.90
FIFA 20 Legacy Edition Nintendo Switch,1071454126,FBA,0,1,0,30.00,30.00
Battlefield V - PlayStation 4,1056263378,FBA,0,1,0,19.99,19.99
Tiger Woods PGA Tour 09 - Sony PSP,1071379590,FBA,0,1,0,16.70,16.70
Far Cry 4 Complete Edition - Xbox One,GI-KHHZ-LSSM,FBA,0,1,0,22.00,22.00
"Dead Rising 2 - Xbox One, Standard Edition",1071453893,FBA,0,1,0,19.99,19.99
Star Wars The Clone Wars: Republic Heroes - Playstation 3,XU-64X3-LS9C,FBA,0,1,0,34.00,34.00
Harry Potter and the Half Blood Prince - PC,1071283703,FBA,0,1,0,24.50,24.50
